Agency,Fund,FY15 Mayors Proposed Budget
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,45447.71
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,50000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,50000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,50000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,50000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,53506.44
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,53584.72
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,55954.62
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,56887
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,58255.77
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,60338.34
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,61576.61
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,66306.25
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,70733
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,71857.28
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,74201.17
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,76396.13
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,80045.09
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,84000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,84000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,89500
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,98122.43
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,100000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,100000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,101234
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,105617.54
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,110000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,116812.17
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,120000.01
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,123176
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,138413.15
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,140386.1
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,148972.76
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,149000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,150000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,150000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,150000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,150000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,158017.55
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,160000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,165069.96
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,170000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,185604.96
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,200000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,200000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,200000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,223787.41
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,241020
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,250000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,250000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,255592.96
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,256697.79
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,262413.39
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,271794.32
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,317809.7
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,334239.5
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,341434.61
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,350000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,370356.16
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,400000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,400510
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,500000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,500000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,500000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,500000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,500000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,500000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,GENERAL FUND,526181
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,663513.3
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,671048.57
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,727500
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,900703.46
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,1000000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,5000000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,5000000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,10000000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,35000000
HOMELAND SECURITY/EMERGENCY MANAGEMENT,FEDERAL RESOURCES,36889690
HOUSING AUTHORITY SUBSIDY,GENERAL FUND,42963276
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,20000
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,30000
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,69000
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,75900
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,100000
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,135000
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,190000
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,279400
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,1000000.01
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,1076985
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,1400000
HOUSING FINANCE AGENCY,ENTERPRISE GENERAL FUND,5285227.5
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,500
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,500
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,1000
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,1000
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,1000
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,1000
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,1061.6
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,1561.6
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,5007
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,6985
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,8500
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,9000.01
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,18208.61
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,34021.42
JUDICIAL NOMINATION COMMISSION,FEDERAL RESOURCES,180654.77
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,30
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,103
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,105
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,125
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,136
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,151
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,220
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,451
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,466.38
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,898
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1772
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1861
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2344
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,3000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,3500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,3500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,3500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,3500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,3500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,3869
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,4000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,4000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,4160
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,4500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,4500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,5500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,7000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,7500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,7500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,7812
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,10000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,10000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,10000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,10000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,10000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,10000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,10000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,11000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,12000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,13818.12
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,15000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,15000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,15000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,15945.5
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,16000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,17410.69
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,17500
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,20000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,20000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,20841.08
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,25000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,25000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,25000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,25000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,26000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,26400
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,30000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,30000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,30000.01
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,35000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,40000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,40000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,45000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,47144.54
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,50000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,50757.37
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,51359.11
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,58342.18
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,62809.62
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,65000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,67226.53
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,70023.12
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,71807.28
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,75000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,90503
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,94732.19
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,95186
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,100000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,100000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,105041.54
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,108456.24
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,114295.47
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,115172.77
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,125000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,150000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,169869.12
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,179908.42
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,200000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,208817.05
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,213832.63
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,214293.38
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,215000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,242143
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,271528.97
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,300000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,305575.14
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,318286.93
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,326396.7
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,350000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,411377.27
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,477461.52
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,492982.92
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,519524.79
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,523512.59
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,525000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,550000.31
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,600000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,767008.17
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,772132.34
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,949168.37
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,1340000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2500000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,2525470
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,4655000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,6214850
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,12025000
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,40512118
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,61788400.65
LOTTERY & CHARITABLE GAMES CONTROL BOARD,ENTERPRISE GENERAL FUND,97744882
MASS TRANSIT SUBSIDIES,GENERAL FUND,281555.05
MASS TRANSIT SUBSIDIES,GENERAL FUND,370274
MASS TRANSIT SUBSIDIES,GENERAL FUND,388025.31
MASS TRANSIT SUBSIDIES,GENERAL FUND,472284.73
MASS TRANSIT SUBSIDIES,GENERAL FUND,800000
MASS TRANSIT SUBSIDIES,GENERAL FUND,1017164
MASS TRANSIT SUBSIDIES,GENERAL FUND,2502500
MASS TRANSIT SUBSIDIES,GENERAL FUND,3216010
MASS TRANSIT SUBSIDIES,GENERAL FUND,4248803
MASS TRANSIT SUBSIDIES,GENERAL FUND,9189243
MASS TRANSIT SUBSIDIES,GENERAL FUND,9742914.99
MASS TRANSIT SUBSIDIES,GENERAL FUND,11178458.77
MASS TRANSIT SUBSIDIES,GENERAL FUND,12143383
MASS TRANSIT SUBSIDIES,GENERAL FUND,13030204.01
MASS TRANSIT SUBSIDIES,GENERAL FUND,25225520
MASS TRANSIT SUBSIDIES,GENERAL FUND,26121850.14
MASS TRANSIT SUBSIDIES,GENERAL FUND,33702538.24
MASS TRANSIT SUBSIDIES,GENERAL FUND,43247888.95
MASS TRANSIT SUBSIDIES,GENERAL FUND,131460663.6
MEDICAL LIABILITY CAPTIVE INS AGENCY,GENERAL FUND,10000
MEDICAL LIABILITY CAPTIVE INS AGENCY,GENERAL FUND,55000
MEDICAL LIABILITY CAPTIVE INS AGENCY,GENERAL FUND,1785145
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,3.96
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,6.57
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,7.95
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,33.73
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,56.35
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,94.48
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,127.63
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,128.03
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,181.72
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,181.97
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,378.89
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,400
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,504.89
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,573.36
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,625
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,742.2
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,850
METROPOLITAN POLICE DEPARTMENT,INTRA-DISTRICT FUNDS,1000
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1038.19
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1090.3
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1232.14
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1303.57
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1378.87
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1391.98
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1500
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1543.07
METROPOLITAN POLICE DEPARTMENT,GENERAL FUND,1597.11
METROPOLITAN POLICE DEPARTMENT,FEDERAL RESOURCES,1600
